>>>>> Detector image results analysis <<<<<

imgs/imgsDB/carsgraz_299.image.png -> Precision: 0.724866 | Recall: 0.40106 | Accuracy: 0.621787
imgs/imgsDB/carsgraz_142.image.png -> Precision: 0.910417 | Recall: 0.0192558 | Accuracy: 0.854814
imgs/imgsDB/carsgraz_042.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.964339
imgs/imgsDB/carsgraz_252.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.947757
imgs/imgsDB/carsgraz_319.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.983402
imgs/imgsDB/carsgraz_034.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.978932
imgs/imgsDB/carsgraz_376.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.745387
imgs/imgsDB/carsgraz_401.image.png -> Precision: 0.00279018 | Recall: 0.0053286 | Accuracy: 0.946868
imgs/imgsDB/carsgraz_387.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.932246
imgs/imgsDB/carsgraz_330.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.978558
imgs/imgsDB/carsgraz_292.image.png -> Precision: 0.673113 | Recall: 0.432506 | Accuracy: 0.815462
imgs/imgsDB/carsgraz_402.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.562295
imgs/imgsDB/carsgraz_152.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.862633
imgs/imgsDB/carsgraz_143.image.png -> Precision: 1 | Recall: 0.145273 | Accuracy: 0.768333
imgs/imgsDB/carsgraz_054.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.856178
imgs/imgsDB/carsgraz_097.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.868952
imgs/imgsDB/carsgraz_341.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.729352
imgs/imgsDB/carsgraz_109.image.png -> Precision: 0.644382 | Recall: 0.488752 | Accuracy: 0.665039
imgs/imgsDB/carsgraz_134.image.png -> Precision: 1 | Recall: 0.162085 | Accuracy: 0.625205
imgs/imgsDB/carsgraz_272.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.988877
imgs/imgsDB/carsgraz_112.image.png -> Precision: 0.0380859 | Recall: 1 | Accuracy: 0.942285
imgs/imgsDB/carsgraz_244.image.png -> Precision: 0.918919 | Recall: 0.156176 | Accuracy: 0.883311
imgs/imgsDB/carsgraz_309.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.967474
imgs/imgsDB/carsgraz_074.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.868669
imgs/imgsDB/carsgraz_289.image.png -> Precision: 0.344399 | Recall: 0.240691 | Accuracy: 0.711468
imgs/imgsDB/carsgraz_111.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.959993
imgs/imgsDB/carsgraz_050.image.png -> Precision: 0.0550388 | Recall: 0.367359 | Accuracy: 0.694372
imgs/imgsDB/carsgraz_086.image.png -> Precision: 0.0934996 | Recall: 1 | Accuracy: 0.941077
imgs/imgsDB/carsgraz_036.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.981237
imgs/imgsDB/carsgraz_275.image.png -> Precision: 0.67928 | Recall: 0.929867 | Accuracy: 0.965827
imgs/imgsDB/carsgraz_242.image.png -> Precision: 0.164497 | Recall: 0.228823 | Accuracy: 0.895758
imgs/imgsDB/carsgraz_340.image.png -> Precision: 0.645527 | Recall: 0.488654 | Accuracy: 0.857734
imgs/imgsDB/carsgraz_388.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.994111
imgs/imgsDB/carsgraz_354.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.881048
imgs/imgsDB/carsgraz_166.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.861481
imgs/imgsDB/carsgraz_400.image.png -> Precision: 0.0806011 | Recall: 0.00823297 | Accuracy: 0.594775
imgs/imgsDB/carsgraz_182.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.87457
imgs/imgsDB/carsgraz_106.image.png -> Precision: 1 | Recall: 0.113083 | Accuracy: 0.779414
imgs/imgsDB/carsgraz_172.image.png -> Precision: 0.660869 | Recall: 0.19748 | Accuracy: 0.899805
imgs/imgsDB/carsgraz_118.image.png -> Precision: 0.015732 | Recall: 1 | Accuracy: 0.820371
imgs/imgsDB/carsgraz_353.image.png -> Precision: 0.851504 | Recall: 0.846854 | Accuracy: 0.951934
imgs/imgsDB/carsgraz_343.image.png -> Precision: 0.956775 | Recall: 0.387513 | Accuracy: 0.866813
imgs/imgsDB/carsgraz_061.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.913841
